peak,elevation_ft,lat,lon
Washington,6286,44.27049,-71.30327
Adams,5797,44.32056,-71.29156
Jefferson,5714,44.30469,-71.3187
Monroe,5371,44.25591,-71.32214
Madison,5363,44.32882,-71.27777
Lafayette,5243,44.16082,-71.64405
Lincoln,5080,44.14861,-71.64465
South Twin,4899,44.19621,-71.55733
Carter Dome,4839,44.26536,-71.17989
Moosilauke,4800,44.02422,-71.83057
Eisenhower,4763,44.24086,-71.35017
North Twin,4759,44.20215,-71.55817
Bond,4696,44.15806,-71.5311
Carrigain,4680,44.09363,-71.45643
Middle Carter Mountain,4623,44.30308,-71.16775
West Bond,4517,44.15476,-71.54364
Garfield,4501,44.1872,-71.61077
Liberty,4457,44.11585,-71.64226
South Carter Mountain,4445,44.28997,-71.17627
Wildcat Mountain,4399,44.25902,-71.20166
Hancock,4398,44.08362,-71.49396
South Kinsman Mountain,4356,44.12294,-71.73656
Flume,4329,44.10879,-71.62807
Osceola,4328,44.00155,-71.53623
Field,4326,44.19646,-71.43324
Pierce,4315,44.22698,-71.36572
Willey,4299,44.18344,-71.42073
North Kinsman Mountain,4274,44.13344,-71.73684
Zealand,4264,44.18003,-71.5216
Bondcliff,4263,44.14087,-71.54064
South Hancock,4257,44.0733,-71.48689
Cabot,4161,44.50606,-71.41458
East Osceola,4161,44.00612,-71.52057
North Tripyramid,4160,43.97314,-71.44285
Middle Tripyramid,4135,43.96471,-71.43995
Cannon,4083,44.15671,-71.6987
Passaconaway,4079,43.95471,-71.38095
Hale,4066,44.22176,-71.5121
Wildcat D,4060,44.24945,-71.22355
Jackson,4052,44.20323,-71.3753
Tom,4048,44.21049,-71.44658
Moriah,4047,44.34043,-71.13177
Owls Head,4029,44.14449,-71.60493
Galehead,4029,44.18513,-71.57329
Whiteface,4018,43.93698,-71.40781
Waumbek,4011,44.43259,-71.4171
Isolation,4004,44.21488,-71.30937
Tecumseh,3995,43.96652,-71.55658
